Role,Player,Club,Squad,Owner,Purchase Price,Initial Quote,Current Quote,Current Gain/Loss,Games,Yellow Cards,Red Cards,Assists,Goals Scored,Penalties Scored,Missed Penalties,Goals Conceded,Penalties Saved,FM FP,MV FP,FM GdS,MV GdS,FM Sud,MV Sud
Portiere,Sommer,INT,Garda Che Squadra,Marce,20,17,22.0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.75,6.19,5.84,6.28,5.88,6.31
Portiere,Szczesny,JUV,Free Agent,Carle,0,15,20.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.46,6.11,5.5,6.14,5.5,6.14
Portiere,Di Gregorio,MON,AC Cipicchia,Free Agent,16,13,18.0,2.0,15,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,5.67,6.53,5.77,6.63,5.5,6.37
Portiere,Provedel,LAZ,Nottigam Dese,Marce,15,12,17.0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5.11,6.23,5.16,6.28,5.16,6.28
Portiere,Terracciano,FIO,Garda Che Squadra,Fracca,13,10,15.0,2.0,14,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,5.77,6.48,5.71,6.43,5.75,6.46
Portiere,Maignan,MIL,Garda Che Squadra,Fracca,12,9,14.0,2.0,13,1.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,5.04,6.31,5.19,6.46,4.92,6.27
Portiere,Skorupski,BOL,Atletico Una Volta,Nippon,11,8,13.0,2.0,15,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.43,6.3,5.5,6.37,5.33,6.2
Portiere,Meret,NAP,AC Cipicchia,Nippon,8,5,10.0,2.0,14,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.88,6.09,4.71,5.93,4.71,5.93
Portiere,Rui Patricio,ROM,AC Cipicchia,Marce,8,5,10.0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,4.89,6.08,4.94,6.13,4.63,5.81
Portiere,Milinkovic,TOR,Garda Che Squadra,Damian,7,4,9.0,2.0,15,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.15,6.12,5.13,6.1,5.07,6.03
Portiere,Falcone,LEC,Nottigam Dese,Marce,5,2,7.0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,5.36,6.48,5.28,6.41,5.19,6.31
Portiere,Silvestri,UDI,Nottigam Dese,Fracca,3,0,5.0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.28,5.97,4.25,5.94,4.28,5.97
Portiere,Carnesecchi,ATA,Vecchie Rocce,Fracca,3,0,5.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.25,6.42,5.17,6.33,4.75,5.92
