Role;Player;Club;Initial Quote
P;Maignan;MIL;17
P;Meret;NAP;16
P;Sommer;INT;16
P;Szczesny;JUV;15
P;Provedel;LAZ;15
P;Rui Patricio;ROM;12
P;Di Gregorio;MON;12
P;Skorupski;BOL;10
P;Milinkovic-Savic V.;TOR;10
P;Terracciano;FIO;10
P;Carnesecchi;ATA;10
P;Falcone;LEC;9
P;Silvestri;UDI;9
P;Ochoa;SAL;9
P;Radunovic;CAG;8
P;Montipo';VER;8
P;Martinez Jo.;GEN;8
P;Caprile;EMP;6
P;Consigli;SAS;5
P;Musso;ATA;5
P;Turati;FRO;5
P;Perin;JUV;3
P;Berisha;EMP;3
P;Cragno;SAS;3
P;Cerofolini;FRO;2
P;Christensen O.;FIO;2
P;Sportiello;MIL;1
P;Mirante;MIL;1
P;Sepe;LAZ;1
P;Leali;GEN;1
P;Lamanna;MON;1
P;Sommariva;GEN;1
P;Pegolo;SAS;1
P;Perilli;VER;1
P;Padelli;UDI;1
P;Scuffet;CAG;1
P;Gollini;NAP;1
P;Perisan;EMP;1
P;Audero;INT;1
P;Di Gennaro;INT;1
P;Pinsoglio;JUV;1
P;Aresti;CAG;1
P;Fiorillo;SAL;1
P;Rossi F.;ATA;1
P;Costil;SAL;1
P;Ravaglia F.;BOL;1
P;Frattali;FRO;1
P;Contini;NAP;1
P;Brancolini;LEC;1
P;Berardi A.;VER;1
P;Gemello;TOR;1
P;Boer;ROM;1
P;Bagnolini;BOL;1
P;Svilar;ROM;1
P;Sorrentino A.;MON;1
P;Martinelli T.;FIO;1
P;Popa;TOR;1
P;Stubljar;EMP;1
P;Gori;MON;1
P;Borbei;LEC;1
P;Okoye;UDI;1
P;Mandas;LAZ;1
D;Di Lorenzo;NAP;20
D;Dimarco;INT;20
D;Hernandez T.;MIL;18
D;Carlos Augusto;INT;17
D;Danilo;JUV;16
D;Posch;BOL;15
D;Schuurs;TOR;15
D;Zappacosta;ATA;15
D;Bastoni;INT;14
D;Dumfries;INT;14
D;Pavard;INT;14
D;Rrahmani;NAP;14
D;Smalling;ROM;14
D;Bremer;JUV;13
D;Romagnoli;LAZ;13
D;Tomori;MIL;13
D;Darmian;INT;12
D;Spinazzola;ROM;12
D;Bakker;ATA;11
D;Baschirotto;LEC;11
D;Biraghi;FIO;11
D;Doig;VER;11
D;Mazzocchi;SAL;11
D;Thiaw;MIL;11
D;Acerbi;INT;10
D;Buongiorno;TOR;10
D;Calabria;MIL;10
D;Casale;LAZ;10
D;Cuadrado;INT;10
D;Ebuehi;EMP;10
D;Holm;ATA;10
D;Mancini;ROM;10
D;Mario Rui;NAP;10
D;Milenkovic;FIO;10
D;Scalvini;ATA;10
D;Bijol;UDI;9
D;Faraoni;VER;9
D;Kolasinac;ATA;9
D;Perez N.;UDI;9
