Role;Player;Club;Club Name;Initial Quote;Purchase Price;Owner;Squad
P;Maignan;MIL;Milan;17;23;Damian;Vecchie Rocce
P;Meret;NAP;Napoli;16;22;Scap;Nottingham Dese
P;Sommer;INT;Inter;16;27;Carle;AC Ciughina
P;Szczesny;JUV;Juventus;15;25;Nippon;AC Cipicchia
P;Provedel;LAZ;Lazio;15;12;Marce;Atletico Una Volta
P;Rui Patricio;ROM;Roma;12;8;Nippon;AC Cipicchia
P;Di Gregorio;MON;Monza;12;1;Carle;AC Ciughina
P;Skorupski;BOL;Bologna;10;4;Fracca;Garda Che Squadra
P;Milinkovic-Savic V.;TOR;Torino;10;0;Free Agent;Free Agent
P;Terracciano;FIO;Fiorentina;10;8;Scap;Nottingham Dese
P;Carnesecchi;ATA;Atalanta;10;4;Carle;AC Ciughina
P;Falcone;LEC;Lecce;9;1;Damian;Vecchie Rocce
P;Silvestri;UDI;Udinese;9;0;Free Agent;Free Agent
P;Ochoa;SAL;Salernitana;9;1;Damian;Vecchie Rocce
P;Radunovic;CAG;Cagliari;8;0;Free Agent;Free Agent
P;Montipo';VER;Verona;8;0;Free Agent;Free Agent
P;Martinez Jo.;GEN;Genoa;8;0;Free Agent;Free Agent
P;Caprile;EMP;Empoli;6;1;Nippon;AC Cipicchia
P;Consigli;SAS;Sassuolo;5;9;Fracca;Garda Che Squadra
P;Musso;ATA;Atalanta;5;8;Marce;Atletico Una Volta
P;Turati;FRO;Frosinone;5;2;Marce;Atletico Una Volta
P;Perin;JUV;Juventus;3;0;Free Agent;Free Agent
P;Berisha;EMP;Empoli;3;0;Free Agent;Free Agent
P;Cragno;SAS;Sassuolo;3;0;Free Agent;Free Agent
P;Cerofolini;FRO;Frosinone;2;0;Free Agent;Free Agent
P;Christensen O.;FIO;Fiorentina;2;0;Free Agent;Free Agent
P;Sportiello;MIL;Milan;1;0;Free Agent;Free Agent
P;Mirante;MIL;Milan;1;0;Free Agent;Free Agent
P;Sepe;LAZ;Lazio;1;0;Free Agent;Free Agent
P;Leali;GEN;Genoa;1;0;Free Agent;Free Agent
P;Lamanna;MON;Monza;1;0;Free Agent;Free Agent
P;Sommariva;GEN;Genoa;1;0;Free Agent;Free Agent
P;Pegolo;SAS;Sassuolo;1;0;Free Agent;Free Agent
