Role;Player;Club;Club Name;Initial Quote
P;Maignan;MIL;Milan;17
P;Meret;NAP;Napoli;16
P;Sommer;INT;Inter;16
P;Szczesny;JUV;Juventus;15
P;Provedel;LAZ;Lazio;15
P;Rui Patricio;ROM;Roma;12
P;Di Gregorio;MON;Monza;12
P;Skorupski;BOL;Bologna;10
P;Milinkovic-Savic V.;TOR;Torino;10
P;Terracciano;FIO;Fiorentina;10
P;Carnesecchi;ATA;Atalanta;10
P;Falcone;LEC;Lecce;9
P;Silvestri;UDI;Udinese;9
P;Ochoa;SAL;Salernitana;9
P;Radunovic;CAG;Cagliari;8
P;Montipo';VER;Verona;8
P;Martinez Jo.;GEN;Genoa;8
P;Caprile;EMP;Empoli;6
P;Consigli;SAS;Sassuolo;5
P;Musso;ATA;Atalanta;5
P;Turati;FRO;Frosinone;5
P;Perin;JUV;Juventus;3
P;Berisha;EMP;Empoli;3
P;Cragno;SAS;Sassuolo;3
P;Cerofolini;FRO;Frosinone;2
P;Christensen O.;FIO;Fiorentina;2
P;Sportiello;MIL;Milan;1
P;Mirante;MIL;Milan;1
P;Sepe;LAZ;Lazio;1
P;Leali;GEN;Genoa;1
P;Lamanna;MON;Monza;1
P;Sommariva;GEN;Genoa;1
P;Pegolo;SAS;Sassuolo;1
P;Perilli;VER;Verona;1
P;Padelli;UDI;Udinese;1
P;Scuffet;CAG;Cagliari;1
P;Gollini;NAP;Napoli;1
P;Perisan;EMP;Empoli;1
P;Audero;INT;Inter;1
P;Di Gennaro;INT;Inter;1
P;Pinsoglio;JUV;Juventus;1
P;Aresti;CAG;Cagliari;1
P;Fiorillo;SAL;Salernitana;1
P;Rossi F.;ATA;Atalanta;1
P;Costil;SAL;Salernitana;1
P;Ravaglia F.;BOL;Bologna;1
P;Frattali;FRO;Frosinone;1
P;Contini;NAP;Napoli;1
P;Brancolini;LEC;Lecce;1
P;Berardi A.;VER;Verona;1
P;Gemello;TOR;Torino;1
P;Boer;ROM;Roma;1
P;Bagnolini;BOL;Bologna;1
P;Svilar;ROM;Roma;1
P;Sorrentino A.;MON;Monza;1
P;Martinelli T.;FIO;Fiorentina;1
P;Popa;TOR;Torino;1
P;Stubljar;EMP;Empoli;1
P;Gori;MON;Monza;1
P;Borbei;LEC;Lecce;1
P;Okoye;UDI;Udinese;1
P;Mandas;LAZ;Lazio;1
D;Di Lorenzo;NAP;Napoli;20
D;Dimarco;INT;Inter;20
D;Hernandez T.;MIL;Milan;18
D;Carlos Augusto;INT;Inter;17
D;Danilo;JUV;Juventus;16
D;Posch;BOL;Bologna;15
D;Schuurs;TOR;Torino;15
D;Zappacosta;ATA;Atalanta;15
D;Bastoni;INT;Inter;14
D;Dumfries;INT;Inter;14
D;Pavard;INT;Inter;14
D;Rrahmani;NAP;Napoli;14
D;Smalling;ROM;Roma;14
D;Bremer;JUV;Juventus;13
D;Romagnoli;LAZ;Lazio;13
D;Tomori;MIL;Milan;13
D;Darmian;INT;Inter;12
D;Spinazzola;ROM;Roma;12
D;Bakker;ATA;Atalanta;11
D;Baschirotto;LEC;Lecce;11
D;Biraghi;FIO;Fiorentina;11
D;Doig;VER;Verona;11
D;Mazzocchi;SAL;Salernitana;11
D;Thiaw;MIL;Milan;11
D;Acerbi;INT;Inter;10
D;Buongiorno;TOR;Torino;10
D;Calabria;MIL;Milan;10
D;Casale;LAZ;Lazio;10
D;Cuadrado;INT;Inter;10
D;Ebuehi;EMP;Empoli;10
D;Holm;ATA;Atalanta;10
D;Mancini;ROM;Roma;10
D;Mario Rui;NAP;Napoli;10
D;Milenkovic;FIO;Fiorentina;10
D;Scalvini;ATA;Atalanta;10
D;Bijol;UDI;Udinese;9
D;Faraoni;VER;Verona;9
D;Kolasinac;ATA;Atalanta;9
D;Perez N.;UDI;Udinese;9
D;Bastoni S.;EMP;Empoli;8
D;De Vrij;INT;Inter;8
D;Djimsiti;ATA;Atalanta;8
D;Kristensen;ROM;Roma;8
D;Kyriakopoulos;MON;Monza;8
D;Mari';MON;Monza;8
D;Martin;GEN;Genoa;8
D;N'dicka;ROM;Roma;8
D;Natan;NAP;Napoli;8
D;Rodriguez R.;TOR;Torino;8
D;Toloi;ATA;Atalanta;8
D;Bellanova;TOR;Torino;7
D;Bradaric;SAL;Salernitana;7
D;Caldirola;MON;Monza;7
D;Cambiaso;JUV;Juventus;7
D;D'ambrosio;MON;Monza;7
D;Dodo';FIO;Fiorentina;7
D;Hien;VER;Verona;7
D;Hysaj;LAZ;Lazio;7
D;Izzo;MON;Monza;7
D;Kalulu;MIL;Milan;7
D;Kamara H.;UDI;Udinese;7
D;Kristiansen;BOL;Bologna;7
D;Lucumi';BOL;Bologna;7
D;Luperto;EMP;Empoli;7
D;Marusic;LAZ;Lazio;7
D;Mina;FIO;Fiorentina;7
D;Olivera;NAP;Napoli;7
D;Parisi;FIO;Fiorentina;7
D;Pedersen;SAS;Sassuolo;7
D;Alex Sandro;JUV;Juventus;6
D;Azzi;CAG;Cagliari;6
D;Beukema;BOL;Bologna;6
D;Birindelli;MON;Monza;6
D;Dossena;CAG;Cagliari;6
D;Dragusin;GEN;Genoa;6
D;Erlic;SAS;Sassuolo;6
D;Gallo;LEC;Lecce;6
D;Gatti;JUV;Juventus;6
D;Gendrey;LEC;Lecce;6
D;Gyomber;SAL;Salernitana;6
D;Hateboer;ATA;Atalanta;6
D;Juan Jesus;NAP;Napoli;6
D;Lazzari;LAZ;Lazio;6
D;Llorente D.;ROM;Roma;6
D;Marchizza;FRO;Frosinone;6
D;Palomino;ATA;Atalanta;6
D;Romagnoli S.;FRO;Frosinone;6
D;Toljan;SAS;Sassuolo;6
D;Vasquez;GEN;Genoa;6
D;Viti;SAS;Sassuolo;6
D;Vojvoda;TOR;Torino;6
D;Wieteska;CAG;Cagliari;6
D;Zappa;CAG;Cagliari;6
D;Zemura;UDI;Udinese;6
D;Augello;CAG;Cagliari;5
D;Dawidowicz;VER;Verona;5
D;Djidji;TOR;Torino;5
D;Ebosele;UDI;Udinese;5
D;Hatzidiakos;CAG;Cagliari;5
D;Ismajli;EMP;Empoli;5
D;Kabasele;UDI;Udinese;5
D;Lovato;SAL;Salernitana;5
D;Lykogiannis;BOL;Bologna;5
D;Martinez Quarta;FIO;Fiorentina;5
D;Masina;UDI;Udinese;5
D;Monterisi;FRO;Frosinone;5
D;Obert;CAG;Cagliari;5
D;Pezzella Giu.;EMP;Empoli;5
D;Pirola;SAL;Salernitana;5
D;Pongracic;LEC;Lecce;5
D;Ranieri L.;FIO;Fiorentina;5
D;Ruggeri;ATA;Atalanta;5
D;Sabelli;GEN;Genoa;5
D;Tressoldi;SAS;Sassuolo;5
D;Zortea;ATA;Atalanta;5
D;Biraschi;GEN;Genoa;4
D;Calafiori;BOL;Bologna;4
D;Ehizibue;UDI;Udinese;4
D;Lazaro;TOR;Torino;4
D;Patric;LAZ;Lazio;4
D;Pellegrini Lu.;LAZ;Lazio;4
D;Terracciano F.;VER;Verona;4
D;Vina;SAS;Sassuolo;4
D;Vogliacco;GEN;Genoa;4
D;Bani;GEN;Genoa;3
D;Bereszynski;EMP;Empoli;3
D;Bisseck;INT;Inter;3
D;Carboni A.;MON;Monza;3
D;Di Pardo;CAG;Cagliari;3
D;Dorgu;LEC;Lecce;3
D;Ferrari G.;SAS;Sassuolo;3
D;Goldaniga;CAG;Cagliari;3
D;Gunter;VER;Verona;3
D;Hefti;GEN;Genoa;3
D;Karsdorp;ROM;Roma;3
