Role,Player,Club,Club Name,Squad,Owner,Purchase Price,Initial Quote,Current Quote,Current Gain/Loss,Games,Yellow Cards,Red Cards,Assists,Goals Scored,Penalties Scored,Missed Penalties,Goals Conceded,Penalties Saved,Clean Sheets,FM FP,MV FP,FM GdS,MV GdS,FM Sud,MV Sud
Portiere,Szczesny,JUV,Juventus,AC Cipicchia,Nippon,25,15,23,-2,20,0,0,0,0,0,0,12,0,11,5.56,6.16,5.6,6.2,5.6,6.2
Portiere,Sommer,INT,Inter,AC Ciughina,Carle,27,16,22,-5,21,0,0,0,0,0,0,10,0,12,5.67,6.14,5.74,6.21,5.76,6.24
Portiere,Provedel,LAZ,Lazio,Atletico Una Volta,Marce,12,15,20,8,21,0,0,0,0,0,0,20,0,7,5.27,6.23,5.38,6.33,5.4,6.36
Portiere,Terracciano,FIO,Fiorentina,Nottingham Dese,Scap,8,10,17,9,19,2,0,0,0,0,0,15,1,6,5.72,6.41,5.74,6.42,5.74,6.42
Portiere,Di Gregorio,MON,Monza,AC Ciughina,Carle,1,12,16,15,18,0,0,0,0,0,0,17,1,7,5.63,6.4,5.72,6.5,5.53,6.31
Portiere,Maignan,MIL,Milan,Vecchie Rocce,Damian,23,17,10,-13,19,1,1,1,0,0,0,23,0,7,4.96,6.2,5.13,6.37,4.87,6.16
Portiere,Rui Patricio,ROM,Roma,AC Cipicchia,Nippon,8,12,10,2,20,0,0,0,0,0,0,22,0,5,4.93,6.03,4.98,6.08,4.68,5.78
Portiere,Carnesecchi,ATA,Atalanta,AC Ciughina,Carle,4,10,10,6,12,0,0,0,0,0,0,9,0,5,5.65,6.4,5.5,6.25,5.42,6.17
Portiere,Skorupski,BOL,Bologna,Garda Che Squadra,Fracca,4,10,10,6,20,2,0,0,0,0,0,19,1,7,5.43,6.28,5.48,6.33,5.33,6.18
Portiere,Meret,NAP,Napoli,Nottingham Dese,Scap,22,16,9,-13,17,0,0,0,0,0,0,19,1,5,5.21,6.15,5.12,6.06,5.15,6.09
Portiere,Caprile,EMP,Empoli,AC Cipicchia,Nippon,1,6,6,5,7,0,0,0,0,0,0,9,1,2,5.64,6.5,5.29,6.14,5.5,6.36
Portiere,Consigli,SAS,Sassuolo,Garda Che Squadra,Fracca,9,5,5,-4,19,1,0,0,0,0,0,30,1,1,4.84,6.29,4.82,6.26,4.74,6.18
Portiere,Turati,FRO,Frosinone,Atletico Una Volta,Marce,2,5,5,3,20,0,0,0,0,0,0,39,0,2,4.19,6.14,4.05,6.0,3.9,5.85
Portiere,Falcone,LEC,Lecce,Vecchie Rocce,Damian,1,9,5,4,21,0,0,0,0,0,0,29,1,2,5.2,6.44,5.17,6.4,5.07,6.31
Portiere,Silvestri,UDI,Udinese,Free Agent,Free Agent,0,9,4,0,17,0,0,0,0,0,0,28,0,4,4.29,5.94,4.21,5.85,4.29,5.94
Portiere,Scuffet,CAG,Cagliari,Free Agent,Free Agent,0,1,4,0,15,1,0,0,0,0,0,26,0,1,4.55,6.32,4.6,6.37,4.57,6.33
Portiere,Ochoa,SAL,Salernitana,Vecchie Rocce,Damian,1,9,3,2,13,0,0,0,0,0,0,26,0,0,4.37,6.37,4.12,6.12,4.23,6.23
Portiere,Costil,SAL,Salernitana,Free Agent,Free Agent,0,1,3,0,8,0,0,0,0,0,0,16,0,1,4.34,6.34,4.19,6.19,4.31,6.31
Portiere,Gollini,NAP,Napoli,Nottingham Dese,Scap,1,1,2,1,5,0,0,0,0,0,0,6,0,0,4.95,6.15,5.0,6.2,5.0,6.2
Portiere,Okoye,UDI,Udinese,Free Agent,Free Agent,0,1,2,0,5,0,0,0,0,0,0,9,0,1,4.35,6.15,4.0,5.8,4.3,6.1
Portiere,Radunovic,CAG,Cagliari,Free Agent,Free Agent,0,8,1,0,7,0,0,0,0,0,0,12,0,2,4.14,5.86,4.0,5.71,4.0,5.71
